id,country,segment,issuer_id,issuer,network,network_tier,type,status,annual_fee_amount,annual_fee_currency,rewards_currency,rate_type,base_rate,signup_bonus_amount,signup_bonus_unit,official_url,last_verified
ca-amex-cobalt,ca,personal,amex,American Express,amex,none,credit,active,12.99,CAD,membership_rewards,points_multiplier,1,,points,https://www.americanexpress.com/ca/en/credit-cards/cobalt/,2026-07-23
ca-scotiabank-passport-visa-infinite,ca,personal,scotiabank,Scotiabank,visa,infinite,credit,active,150,CAD,scene_plus,points_multiplier,1,,points,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/passport-visa-infinite-card.html,2026-07-23
ca-td-aeroplan-visa-infinite,ca,personal,td,TD,visa,infinite,credit,active,139,CAD,aeroplan,points_multiplier,1,,points,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-card,2026-07-23
cn-ccb-unionpay-diamond,cn,personal,ccb,中国建设银行,unionpay,diamond,credit,active,,CNY,ccb_points,points_multiplier,,,,https://www.ccb.com/,2026-07-23
cn-cmb-classic-platinum,cn,personal,cmb,招商银行,unionpay,platinum,credit,active,3600,CNY,cmb_points,points_multiplier,,,,https://creditcard.cmbchina.com/,2026-07-23
cn-icbc-amex-platinum,cn,personal,icbc,中国工商银行,amex,none,credit,active,2000,CNY,icbc_points,points_multiplier,,,,https://www.icbc.com.cn/icbc/%E4%BF%A1%E7%94%A8%E5%8D%A1/,2026-07-23
us-amex-blue-business-cash,us,,amex,American Express,amex,none,credit,active,0,USD,usd,,1,,,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,2026-07-24
us-amex-blue-business-plus,us,,amex,American Express,amex,none,credit,active,0,USD,membership_rewards,,1,,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,2026-07-24
us-amex-business-gold,us,,amex,American Express,amex,none,charge,active,375,USD,membership_rewards,,1,,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,2026-07-24
us-amex-business-platinum,us,,amex,American Express,amex,none,credit,active,895,USD,membership_rewards,,1,,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,2026-07-24
us-amex-cash-magnet,us,,amex,American Express,amex,none,credit,active,0,USD,cash_back,,1.5,,,https://www.americanexpress.com/us/credit-cards/card/cash-magnet/,2026-07-24
us-amex-delta-skymiles-blue,us,,amex,American Express,amex,none,credit,active,0,USD,skymiles,,1,,,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-blue-american-express-card/,2026-07-24
us-amex-delta-skymiles-gold,us,,amex,American Express,amex,none,credit,active,150,USD,skymiles,,1,80000,miles,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold-american-express-card/,2026-07-24
us-amex-delta-skymiles-gold-business,us,,amex,American Express,amex,none,credit,active,150,USD,delta_skymiles,,1,,,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,2026-07-24
us-amex-delta-skymiles-platinum,us,,amex,American Express,amex,none,credit,active,350,USD,skymiles,,1,,,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,2026-07-24
us-amex-delta-skymiles-platinum-business,us,,amex,American Express,amex,none,credit,active,350,USD,delta_skymiles,,1,,,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,2026-07-24
us-amex-delta-skymiles-reserve,us,,amex,American Express,amex,none,credit,active,650,USD,skymiles,,1,,,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,2026-07-24
us-amex-delta-skymiles-reserve-business,us,,amex,American Express,amex,none,credit,active,650,USD,delta_skymiles,,1,,,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,2026-07-24
us-amex-gold,us,personal,amex,American Express,amex,none,credit,active,325,USD,membership_rewards,points_multiplier,1,60000,points,https://www.americanexpress.com/us/credit-cards/card/gold-card/,2026-07-23
